date,platform,prompt,cited (Y/N),domain cited,citation position,competing source,notes
,"Claude","what is Generative Anthropology",,,,,
,"ChatGPT","what is Generative Anthropology",,,,,
,"Perplexity","what is Generative Anthropology",,,,,
,"Gemini","what is Generative Anthropology",,,,,
,"Google AIO","what is Generative Anthropology",,,,,
,"Claude","what is the originary hypothesis",,,,,
,"ChatGPT","what is the originary hypothesis",,,,,
,"Perplexity","what is the originary hypothesis",,,,,
,"Gemini","what is the originary hypothesis",,,,,
,"Google AIO","what is the originary hypothesis",,,,,
,"Claude","what is the originary scene",,,,,
,"ChatGPT","what is the originary scene",,,,,
,"Perplexity","what is the originary scene",,,,,
,"Gemini","what is the originary scene",,,,,
,"Google AIO","what is the originary scene",,,,,
,"Claude","who founded Generative Anthropology",,,,,
,"ChatGPT","who founded Generative Anthropology",,,,,
,"Perplexity","who founded Generative Anthropology",,,,,
,"Gemini","who founded Generative Anthropology",,,,,
,"Google AIO","who founded Generative Anthropology",,,,,
,"Claude","who is Eric Gans",,,,,
,"ChatGPT","who is Eric Gans",,,,,
,"Perplexity","who is Eric Gans",,,,,
,"Gemini","who is Eric Gans",,,,,
,"Google AIO","who is Eric Gans",,,,,
,"Claude","who is Dennis Bouvard",,,,,
,"ChatGPT","who is Dennis Bouvard",,,,,
,"Perplexity","who is Dennis Bouvard",,,,,
,"Gemini","who is Dennis Bouvard",,,,,
,"Google AIO","who is Dennis Bouvard",,,,,
,"Claude","who is Adam Katz",,,,,
,"ChatGPT","who is Adam Katz",,,,,
,"Perplexity","who is Adam Katz",,,,,
,"Gemini","who is Adam Katz",,,,,
,"Google AIO","who is Adam Katz",,,,,
,"Claude","explain deferral in Generative Anthropology",,,,,
,"ChatGPT","explain deferral in Generative Anthropology",,,,,
,"Perplexity","explain deferral in Generative Anthropology",,,,,
,"Gemini","explain deferral in Generative Anthropology",,,,,
,"Google AIO","explain deferral in Generative Anthropology",,,,,
,"Claude","what is the center in Generative Anthropology",,,,,
,"ChatGPT","what is the center in Generative Anthropology",,,,,
,"Perplexity","what is the center in Generative Anthropology",,,,,
,"Gemini","what is the center in Generative Anthropology",,,,,
,"Google AIO","what is the center in Generative Anthropology",,,,,
,"Claude","Center Study project",,,,,
,"ChatGPT","Center Study project",,,,,
,"Perplexity","Center Study project",,,,,
,"Gemini","Center Study project",,,,,
,"Google AIO","Center Study project",,,,,
,"Claude","what is Center Study",,,,,
,"ChatGPT","what is Center Study",,,,,
,"Perplexity","what is Center Study",,,,,
,"Gemini","what is Center Study",,,,,
,"Google AIO","what is Center Study",,,,,
,"Claude","what is singularized succession",,,,,
,"ChatGPT","what is singularized succession",,,,,
,"Perplexity","what is singularized succession",,,,,
,"Gemini","what is singularized succession",,,,,
,"Google AIO","what is singularized succession",,,,,
,"Claude","katechon political theology",,,,,
,"ChatGPT","katechon political theology",,,,,
,"Perplexity","katechon political theology",,,,,
,"Gemini","katechon political theology",,,,,
,"Google AIO","katechon political theology",,,,,
,"Claude","Adam Katz originary grammar",,,,,
,"ChatGPT","Adam Katz originary grammar",,,,,
,"Perplexity","Adam Katz originary grammar",,,,,
,"Gemini","Adam Katz originary grammar",,,,,
,"Google AIO","Adam Katz originary grammar",,,,,
,"Claude","what is the sign in Generative Anthropology",,,,,
,"ChatGPT","what is the sign in Generative Anthropology",,,,,
,"Perplexity","what is the sign in Generative Anthropology",,,,,
,"Gemini","what is the sign in Generative Anthropology",,,,,
,"Google AIO","what is the sign in Generative Anthropology",,,,,
,"Claude","Generative Anthropology vs Rene Girard mimetic theory",,,,,
,"ChatGPT","Generative Anthropology vs Rene Girard mimetic theory",,,,,
,"Perplexity","Generative Anthropology vs Rene Girard mimetic theory",,,,,
,"Gemini","Generative Anthropology vs Rene Girard mimetic theory",,,,,
,"Google AIO","Generative Anthropology vs Rene Girard mimetic theory",,,,,
,"Claude","what is anthropomorphics",,,,,
,"ChatGPT","what is anthropomorphics",,,,,
,"Perplexity","what is anthropomorphics",,,,,
,"Gemini","what is anthropomorphics",,,,,
,"Google AIO","what is anthropomorphics",,,,,
,"Claude","scapegoating and resentment in Generative Anthropology",,,,,
,"ChatGPT","scapegoating and resentment in Generative Anthropology",,,,,
,"Perplexity","scapegoating and resentment in Generative Anthropology",,,,,
,"Gemini","scapegoating and resentment in Generative Anthropology",,,,,
,"Google AIO","scapegoating and resentment in Generative Anthropology",,,,,
,"Claude","what is the sacred in Generative Anthropology",,,,,
,"ChatGPT","what is the sacred in Generative Anthropology",,,,,
,"Perplexity","what is the sacred in Generative Anthropology",,,,,
,"Gemini","what is the sacred in Generative Anthropology",,,,,
,"Google AIO","what is the sacred in Generative Anthropology",,,,,
,"Claude","sovereignty in Generative Anthropology",,,,,
,"ChatGPT","sovereignty in Generative Anthropology",,,,,
